Date,Quarter,TimeKey
2024-01-11 10:44:03,1,1
2024-01-24 08:07:24,1,2
2024-01-10 11:00:08,1,3
2024-01-16 08:14:21,1,4
2024-01-16 14:34:12,1,5
2024-01-30 14:31:55,1,6
2024-01-31 14:38:17,1,7
2024-01-31 15:09:11,1,8
2024-02-05 15:02:45,1,9
2024-01-11 11:36:32,1,10
2024-01-15 08:00:47,1,11
2024-03-25 16:06:36,1,12
2024-04-10 07:00:24,2,13
2024-03-25 08:26:52,1,14
2024-04-10 12:45:04,2,15
2024-03-25 11:16:58,1,16
2024-04-22 07:23:47,2,17
2024-09-03 18:03:58,3,18
2024-09-13 15:18:32,3,19
2024-09-23 16:58:09,3,20
2024-10-28 14:24:00,4,21
2024-06-13 13:45:08,2,22
2024-06-19 12:48:15,2,23
2024-08-29 07:22:11,3,24
2024-08-02 14:43:25,3,25
2024-08-29 07:00:43,3,26
2024-05-23 09:01:21,2,27
2024-05-27 08:33:24,2,28
2024-05-29 10:27:02,2,29
2024-07-25 07:03:30,3,30
2024-04-30 14:42:51,2,31
2024-05-16 07:23:20,2,32
2024-06-04 13:59:49,2,33
2024-07-03 11:12:31,3,34
2024-02-28 20:53:36,1,35
2024-03-04 18:24:59,1,36
2024-05-29 13:54:13,2,37
2024-07-03 10:57:11,3,38
2024-07-24 13:56:51,3,39
2024-05-22 14:26:47,2,40
2024-11-04 08:26:53,4,41
2024-05-28 07:32:25,2,42
2024-05-20 14:26:22,2,43
2024-12-20 09:39:04,4,44
2024-03-11 14:17:28,1,45
2024-05-09 07:00:02,2,46
2024-04-01 14:02:13,2,47
2024-07-03 13:55:52,3,48
2024-07-08 16:59:34,3,49
2024-06-25 13:58:04,2,50
2024-06-27 13:32:27,2,51
2024-05-28 18:06:10,2,52
2024-06-03 17:17:05,2,53
2024-06-28 14:35:42,2,54
2024-07-17 13:37:52,3,55
2024-06-11 15:59:17,2,56
2024-06-12 14:12:05,2,57
2024-02-12 14:40:19,1,58
2024-02-28 14:30:17,1,59
2024-04-17 19:34:49,2,60
2024-01-11 16:11:34,1,61
2024-04-19 19:45:12,2,62
2024-01-15 08:02:00,1,63
2024-01-09 15:06:14,1,64
2024-01-12 08:02:02,1,65
2024-06-04 13:54:41,2,66
2024-06-05 15:15:50,2,67
2024-04-01 16:14:25,2,68
2024-04-16 14:22:00,2,69
2024-04-16 13:30:37,2,70
2024-04-22 14:29:37,2,71
2024-03-05 15:01:28,1,72
2024-03-08 19:39:33,1,73
2024-09-25 16:37:29,3,74
2024-08-02 14:42:18,3,75
2024-08-20 13:30:53,3,76
2024-05-21 16:29:10,2,77
2024-07-08 13:30:10,3,78
2024-07-08 17:05:44,3,79
2024-07-31 15:10:06,3,80
2024-11-19 20:02:47,4,81
2024-11-22 14:32:22,4,82
2024-12-20 16:36:51,4,83
2024-06-25 14:15:15,2,84
2024-11-08 16:36:34,4,85
2024-07-17 13:35:05,3,86
2024-11-21 20:35:25,4,87
2024-12-05 16:20:42,4,88
2024-12-13 14:30:29,4,89
2024-02-20 15:41:42,1,90
2024-12-09 16:12:31,4,91
2024-02-28 14:30:35,1,92
2024-02-13 20:10:42,1,93
2024-05-15 15:21:52,2,94
